session_id,tdoa_12,tdoa_13,tdoa_14,tdoa_23,tdoa_24,tdoa_34,onset_diff_12,onset_diff_13,onset_diff_14,intensity_ratio_12,intensity_ratio_13,intensity_ratio_14,intensity_ratio_24,energy_ratio_1,energy_ratio_2,energy_ratio_3,energy_ratio_4,first_mic,loudest_mic,estimated_direction_deg,duration,rms,db,spectral_centroid,spectral_rolloff,label
330_8,0.05125,-0.004208333333333333,0.04664583333333333,-0.0553125,-0.004583333333333333,0.050708333333333334,0.0,0.0,0.0,0.7619576279015188,0.9098541758710885,0.8111488649221166,1.0645590190557501,0.1770318898621098,0.3402094357607838,0.21145247677201678,0.2713061976050883,1,2,192.24258462134495,3.0,0.0542903522375557,-25.30554681221157,2475.2820016144096,4679.521276595745,330
330_9,0.057,-0.0032916666666666667,0.052,-0.05991666666666667,-0.0047083333333333335,0.05522916666666667,-0.0012499999999999998,-0.00031250000000000006,-0.002375,0.673159871990072,0.8375072129239791,0.7510090034138152,1.1156473144967114,0.1625868131941085,0.3595141386695324,0.20823438668450597,0.26966466145185064,1,2,191.6018229915201,3.0,0.0384445186615074,-28.30331144459704,2719.714481038967,5511.38630319149,330
60_10,0.41025,-1.0342291666666668,-0.47558333333333336,-1.4441041666666667,-0.8857916666666666,0.5584583333333333,0.7227708333333334,0.8012083333333333,-0.3150833333333334,1.0764149145629631,0.874948368441312,0.770482858960387,0.7157861234871576,0.18371182535973926,0.2490034250308696,0.20874072236670638,0.35854402724268264,3,4,310.43760176259707,3.0,0.0433433545281807,-27.261549595840844,2423.915397343264,4241.439494680851,60
60_11,-1.9849375,1.3714166666666667,-0.470625,0.9509791666666667,1.5142083333333334,0.5632916666666666,0.0694375,0.06497916666666667,0.0620625,1.0775962660422806,1.0228153726861493,0.8364278597940672,0.7761978081683981,0.2571910859096988,0.29418668518715463,0.15479086692483868,0.2938313619783062,2,4,106.5638437690475,3.0,0.0579655542217437,-24.73660014768912,2292.463278955573,3885.970744680851,60
60_12,0.42633333333333334,1.37075,1.9393958333333334,0.9444166666666667,-0.8874375,0.5687291666666666,0.00047916666666666664,-0.13877083333333334,-0.0021874999999999998,1.2077578417426376,1.0059671003100223,0.8076043330013178,0.6686806784333041,0.1655007186678897,0.15638057094052915,0.17656834930495052,0.5015503610866292,2,4,137.5665426314306,3.0,0.0481871700749819,-26.34137156174232,2270.8280360364315,3956.283244680851,60
60_13,0.43054166666666666,-1.0368333333333333,-0.45689583333333333,-1.467375,-0.8878333333333334,-1.8265208333333334,0.04545833333333334,-0.10522916666666668,0.054,1.0535801863637493,0.9380492331187852,0.7858972013889816,0.7459301262106987,0.16365551850251497,0.16997822848115024,0.31699461545242563,0.3493716375639072,4,4,310.08385886888914,3.0,0.0434436185983678,-27.241480154440406,2269.797586774493,3691.489361702128,60
60_14,0.436125,-1.0374166666666667,-0.45195833333333335,-1.4737708333333333,-0.888125,0.5856666666666667,0.4347916666666667,0.9380625,-0.4532708333333334,1.0091375975433157,0.9085995676177172,0.6848632989307242,0.6786619590792035,0.18106399913917462,0.2426597640479297,0.21058825722050037,0.3656879795923932,3,4,309.9809551577074,3.0,0.0427720981873856,-27.37678889746502,2596.942060313016,5168.384308510638,60
60_15,-1.9269166666666666,-1.0388541666666666,-0.4560416666666667,0.8881041666666667,1.4708333333333334,0.5826875,0.3238333333333333,-1.0396458333333332,-0.4551875000000001,1.2659831563499464,0.9397151554669063,0.7918556181564772,0.6254866932334526,0.27288092579163403,0.24130935172319234,0.1732650364638009,0.31254468602137087,2,4,63.06189404170055,2.989333333333333,0.0539471859881417,-25.36062408403707,2594.3013915818046,5200.539368327402,60
60_16,0.4243125,1.3547916666666666,-0.46558333333333335,0.9305416666666667,-0.889875,0.5800625,-0.0017708333333333332,-0.712125,-0.13124999999999998,1.0132659891661169,1.0219726262791697,0.7552158925968456,0.7453283744546253,0.1677423800048041,0.14863567741520162,0.14501884801217943,0.5386030945678131,1,4,243.45265738295916,3.0,0.0444118112911638,-27.05003028381285,2421.216037973721,4429.35505319149,60
60_17,0.4365,-1.0449791666666666,-0.4532291666666667,-1.4811041666666667,-0.8897291666666667,0.5914375,1.3423749999999999,1.3545208333333332,1.4683333333333333,1.183667781491166,0.9069457049794609,0.7790873652820212,0.6581976610859176,0.1635510169517086,0.16154203705693418,0.3241700471171892,0.35073689887416615,4,4,310.0955776870558,3.0,0.043242940185875,-27.281695700699853,2536.47343276714,4747.839095744681,60
